CUSTOMER P/N:	10DL5H	TestSpecification Rev C												
SVI P/N:	LNK01E-213299LF													
CREATED DATE:	19-มี.ค.-15													
SW REV.:	1.000													
TEST SEQ REV.:	1.000													
Index	 Step#	Descriptions	FailedCode	Equipment	Command	Action 	Low Limit	High Limit	Unit	Type	Test Loop	Compensate	Remarks	RLY Status
1	0	Initial				STEP								
2		SET VOTAGE KORAD 5V		KA3003P	VSET1:5	TEST								
3		SET CURRENT KORAD 500mA		KA3003P	ISET1:0.05	TEST								
4		ON KORAD		KA3003P	OUT1	TEST								
5		SEL 14VDC 100mA		E3643A	"APPL 13.2,0.1"	TEST								
6		TURN ON E3643A		E3643A	OUTP ON	TEST								
7		Enter to SINGLE SEQ mode		DSO1072B	:RUN	TEST								
8		"ON 1,2 to APPLY 14VDC to FIXTURE"		RELAY	@b001t	TEST								
9		"Test ID 01-DUT Erase, OSC cal & Test SW prog."				STEP								
10		"ON 9 (Ctrl. SRLY8,10,12,14A to connect STK500 to DUT)"		RELAY	@b006t	TEST								
11		Program test software	F1	STK500	TEST_FW	TEST	Programming complete!	Programming complete!	MESS	STR1				
12		"OFF 9 (Ctrl. SRLY8,10,12,14A to connect STK500 to DUT)"		RELAY	@b006f	TEST								
13		Test ID 02-RES. Btw J3 and TP4				STEP								
14		CONF RES Meas.		34410A	CONF:RES 100	TEST								
15		"ON 3,5 (Connect DMM+HI & DMM_COM to Meas Res. btw J3&TP4)"		RELAY	@b002t	TEST								
16		Meas RES at J3 & TP4	F2	34410A	READ?	TEST	10	16	RES	DPO1				
17		"OFF 3,5 (Connect DMM+HI & DMM_COM to Meas Res. btw J3&TP4)"		RELAY	@b002f	TEST								
18		Test ID 05-supply current consumption				STEP								
19		CONF 34410A to current meas. Mode		34410A	CONF:CURR:DC 0.1	TEST								
20		"ON 23,24 (Supply 12VDC to 5000 RPM MOTOR (CW)"		RELAY	@b020t	TEST								
21		"ON 8 (Ctrl. SRLY1,3A  for DUT input current measurement)"		RELAY	@b005t	TEST								
22		Wait 1000mS		DELAY	1000	STEP								
23		Meas supply current consumption	F3	34410A	READ?	TEST	0.006	0.018	CUR	DPO1				
24		Wait 1000mS		DELAY	1000	TEST								
25		ON 7 (Ctrl. SRLY2A for Supply 13.2VDC to DUT)		RELAY	@b004t	TEST								
26		"OFF 23,24 (Supply 12VDC to 5000 RPM MOTOR (CW)"		RELAY	@b020f	TEST								
27		"OFF 8 (Ctrl. SRLY1,3A  for DUT input current measurement)"		RELAY	@b005f	TEST								
28		Test ID 06-supply for ATTiny				STEP								
29		CONF 34410A to voltage meas. Mode		34410A	CONF:VOLT:DC 100	TEST								
30		"ON 4,6 (Meas ATTiny supply voltage)"		RELAY	@b003t	TEST								
31		Meas voltage at TP8 wrt TP4	F4	34410A	READ?	TEST	4.5	5	VOLT	DPO1				
32		"OFF 4,6 (Meas ATTiny supply voltage)"		RELAY	@b003f	TEST								
33		Test ID 07-output voltage from OPAMP				STEP								
34		"ON 27,29 (Meas O/P voltage from OPAMP TP2 wpt. TP4)"		RELAY	@b022t	TEST								
35		Meas voltage at TP2 wrt TP4 (OPAMP O/P volatge)	F5	34410A	READ?	TEST	2.15	2.45	VOLT	DPO1				
36		"OFF 27,29 (Meas O/P voltage from OPAMP TP2 wpt. TP4)"		RELAY	@b022f	TEST								
37		Test ID 08-output voltageat Hall A				STEP								
38		ON 11 (Ctrl. SRLY6A to Supply 5V1 to TP10)		RELAY	@b008t	TEST								
39		"ON 28,30 (Connect DMM+&DMM- to SRLY4B(Meas volt at TP14 wpt TP4))"		RELAY	@b023t	TEST								
40		ON 12 (Ctrl. SRLY4B to meas. volt at TP14 wrt TP4)		RELAY	@b009t	TEST								
41		Wait 1000mS		DELAY	1000	TEST								
42		Meas voltage at TP14 wrt TP4	F6	34410A	READ?	TEST	11.6	13	VOLT	DPO1				
43		"OFF 28,30 (Connect DMM+&DMM- to SRLY4B(Meas volt at TP14 wpt TP4))"		RELAY	@b023f	TEST								
44		OFF 12 (Ctrl. SRLY4B to meas. volt at TP14 wrt TP4)		RELAY	@b009f	TEST								
45		Test ID 09-Verify calibrated frequency				STEP								
46		ON 14 (Ctrl. SRLY14B to connect OSC CH2 to TP15 wrt TP4)		RELAY	@b011t	TEST								
47		Meas OSC calibrated frequenc at TP15 wrt TP4	F7	DSO1072B	:MEAS:FREQ? CHAN2	TEST	970	1030	Hz	DPO1				
48		ON 14 (Ctrl. SRLY14B to connect OSC CH2 to TP15 wrt TP4)		RELAY	@b011f	TEST								
49		OFF 11 (Ctrl. SRLY6A to Supply 5V1 to TP10)		RELAY	@b008f	TEST								
50		ON 15 (Ctrl. SRLY12B to connect OSC CH2 to TP1 wrt TP4)		RELAY	@b012t	TEST								
51		Test ID 10-Test Hall signal in MCU				STEP								
52		Set time base of DSO1072B to 500uS		DSO1072B	:TIM:SCAL 0.005	TEST								
53		Wait 250mS		DELAY	250	TEST								
54		Set HOR delay to 10mS		DSO1072B	:TIM:MAIN:OFFS  0.035	TEST								
55		Enter to SINGLE SEQ mode		DSO1072B	:SINGLE	TEST								
56		Wait 250mS		DELAY	1000	TEST								
57		"ON 23,24 (Supply 12VDC to 5000 RPM MOTOR (CW)"		RELAY	@b020t	TEST								
58		Wait 250mS		DELAY	500	TEST								
59		"OFF 23,24 (Supply 12VDC to 5000 RPM MOTOR (CW)"		RELAY	@b020f	TEST								
60		Wait 1000mS		DELAY	1000	TEST								
61		WAVE FORM IS NULL?		DSO1072B	:MEAS:VTOP? CHAN2	TEST								
62		Extract DL12 Hall WF CW		DSO1072B_HALL_WF	GET_WF_CW	TEST								
63		Clockwise 2V9	F8	DSO1072B_HALL_WF	2V9	TEST	2.61	3.19	V	DPO1				
64		Clockwise 1V3	F9	DSO1072B_HALL_WF	1V3	TEST	1.17	1.43	V	DPO1				
65		Clockwise 2V1	F10	DSO1072B_HALL_WF	2V1	TEST	1.89	2.31	V	DPO1				
66		Clockwise 4V8	F11	DSO1072B_HALL_WF	4V8	TEST	4.32	5.28	V	DPO1				
67		Enter to SINGLE SEQ mode		DSO1072B	:SINGLE	TEST								
68		Wait 250mS		DELAY	1000	TEST								
69		"ON 47,48 (Supply 12VDC to 5000 RPM MOTOR (CCW)"		RELAY	@b040t	TEST								
70		Wait 250mS		DELAY	500	TEST								
71		"OFF 47,48 (Supply 12VDC to 5000 RPM MOTOR (CCW)"		RELAY	@b040f	TEST								
72		Extract DL12 Hall WF CCW		DSO1072B_HALL_WF	GET_WF_CCW	TEST								
73		Clockwise 2V9	F12	DSO1072B_HALL_WF	2V9	TEST	2.61	3.19	V	DPO1				
74		Clockwise 1V3	F13	DSO1072B_HALL_WF	1V3	TEST	1.17	1.43	V	DPO1				
75		Clockwise 2V1	F14	DSO1072B_HALL_WF	2V1	TEST	1.89	2.31	V	DPO1				
76		Clockwise 4V8	F15	DSO1072B_HALL_WF	4V8	TEST	4.32	5.28	V	DPO1				
77		OFF 15 (Ctrl. SRLY12B to connect OSC CH2 to TP1 wrt TP4)		RELAY	@b012f	TEST								
78		Enter to SINGLE SEQ mode		DSO1072B	:KEY:RUN	TEST								
79		Test ID 11-Meas O/P freq at Hall A				STEP								
80		"ON 23,24 (Supply 12VDC to 5000 RPM MOTOR (CW)"		RELAY	@b020t	TEST								
81		Set time base of DSO1072B to 10mS		DSO1072B	:TIM:SCAL 0.005	TEST								
82		Wait 1000mS		DELAY	1000	TEST								
83		ON 13 (Ctrl. SRLY6B to connect OSC CH1 to TP14 wrt TP4)		RELAY	@b010t	TEST								
84		ON 14 (Ctrl. SRLY14B to connect OSC CH2 to TP15 wrt TP4)		RELAY	@b011t	TEST								
85		Meas O/P freq. at TP14 wrt TP4	F16	DSO1072B	:MEAS:FREQ? CHAN1	TEST	74700	91300	Hz	DPO1				
86		Test ID 12-Meas duty cycle at Hall A				STEP								
87		Meas duty cycle at TP14 wrt TP4	F17	DSO1072B	:MEAS:PDUT? CHAN1	TEST	45	55	%	DPO1				
88		Meas O/P freq. at TP15 wrt TP4	F18	DSO1072B	:MEAS:FREQ? CHAN2	TEST	74700	91300	Hz	DPO1				
89		Test ID 14-Meas duty cycle at Hall B				STEP								
