CUSTOMER P/N:	10DL5H	TestSpecification Rev C												
SVI P/N:	LNK01E-213299LF													
CREATED DATE:	19-มี.ค.-15													
SW REV.:	1.000													
TEST SEQ REV.:	1.000													
Index	 Step#	Descriptions	FailedCode	Equipment	Command	Action 	Low Limit	High Limit	Unit	Type	Test Loop	Compensate	Remarks	RLY Status
1	0	Initial				STEP								
2		Enter to SINGLE SEQ mode		DSO1072B	:RUN	TEST								
3		Set time base of DSO1072B to 500uS		DSO1072B	:TIM:SCAL 0.0002	TEST								
4		SEL 35V RANGE on E3643A		E3643A	VOLT:RANG LOW	TEST								
5		SEL 14VDC 100mA		E3643A	"APPL 13.2,0.1"	TEST								
6		TURN ON E3643A		E3643A	OUTP ON	TEST								
7		"ON 1,2 to APPLY 14VDC to FIXTURE"		RELAY	@b001t	TEST								
8		"Test ID 01-DUT Erase, OSC cal & Test SW prog."				STEP								
9		"ON 9 (Ctrl. SRLY8,10,12,14A to connect STK500 to DUT)"		RELAY	@b006t	TEST								
10		Program test software	F1	STK500	TEST_FW	TEST	Programming complete!	Programming complete!	MESS	STR1				
11		"OFF 9 (Ctrl. SRLY8,10,12,14A to connect STK500 to DUT)"		RELAY	@b006f	TEST								
12		Test ID 02-RES. Btw J3 and TP4				STEP								
13		CONF RES Meas.		34410A	CONF:RES 100	TEST								
14		"ON 3,5 (Connect DMM+HI & DMM_COM to Meas Res. btw J3&TP4)"		RELAY	@b002t	TEST								
15		Meas RES at J3 & TP4	F2	34410A	READ?	TEST	10	16	RES	DPO1				
16		"OFF 3,5 (Connect DMM+HI & DMM_COM to Meas Res. btw J3&TP4)"		RELAY	@b002f	TEST								
17		Test ID 05-supply current consumption				STEP								
18		CONF 34410A to current meas. Mode		34410A	CONF:CURR:DC 0.1	TEST								
19		"ON 23,24 (Supply 12VDC to 5000 RPM MOTOR (CW)"		RELAY	@b020t	TEST								
20		"ON 8 (Ctrl. SRLY1,3A  for DUT input current measurement)"		RELAY	@b005t	TEST								
21		Meas supply current consumption	F3	34410A	READ?	TEST	0.0106	0.013	CUR	DPO1				
22		ON 7 (Ctrl. SRLY2A for Supply 13.2VDC to DUT)		RELAY	@b004t	TEST								
23		"OFF 23,24 (Supply 12VDC to 5000 RPM MOTOR (CW)"		RELAY	@b020f	TEST								
24		"OFF 8 (Ctrl. SRLY1,3A  for DUT input current measurement)"		RELAY	@b005f	TEST								
25		Test ID 06-supply for ATTiny				STEP								
26		CONF 34410A to voltage meas. Mode		34410A	CONF:VOLT:DC 100	TEST								
27		"ON 4,6 (Meas ATTiny supply voltage)"		RELAY	@b003t	TEST								
28		Meas voltage at TP8 wrt TP4	F4	34410A	READ?	TEST	4.5	5	VOLT	DPO1				
29		"OFF 4,6 (Meas ATTiny supply voltage)"		RELAY	@b003f	TEST								
30		Test ID 07-output voltage from OPAMP				STEP								
31		"ON 27,29 (Meas O/P voltage from OPAMP TP2 wpt. TP4)"		RELAY	@b022t	TEST								
32		Meas voltage at TP2 wrt TP4 (OPAMP O/P volatge)	F5	34410A	READ?	TEST	2.15	2.45	VOLT	DPO1				
33		"OFF 27,29 (Meas O/P voltage from OPAMP TP2 wpt. TP4)"		RELAY	@b022f	TEST								
34		Test ID 08-output voltageat Hall A				STEP								
35		ON 11 (Ctrl. SRLY6A to Supply 5V1 to TP10)		RELAY	@b008t	TEST								
