CUSTOMER P/N:	10DL12H	TestSpecification Rev C												
SVI P/N:	LNK908-213300ALF													
CREATED DATE:	19-Mar-15													
SW REV.:	1.000													
TEST SEQ REV.:	1.000													
Index	 Step#	Descriptions	FailedCode	Equipment	Command	Action 	Low Limit	High Limit	Unit	Type	Test Loop	Compensate	Remarks	RLY Status
1	0	Initial				STEP								
2		SET VOTAGE KORAD 5V1		KA3003P	VSET1:5.1	TEST								
3		SET CURRENT KORAD 500mA		KA3003P	ISET1:0.05	TEST								
4		ON KORAD		KA3003P	OUT1	TEST								
5		SEL 14VDC 100mA		E3643A	"APPL 13.2,0.1"	TEST								
6		TURN ON E3643A		E3643A	OUTP ON	TEST								
7		Enter to SINGLE SEQ mode		DSO1072B	:RUN	TEST								
8		"ON 1,2 to APPLY 13.2VDC to FIXTURE"		RELAY	@b001t	TEST								
10		"ON 9 (Ctrl. SRLY8,10,12,14A to connect STK500 to DUT)"		RELAY	@b006t	STEP								
11		Program test software	F1	STK500	TEST_FW	STEP	Programming complete!	Programming complete!	MESS	STR1				
12		"OFF 9 (Ctrl. SRLY8,10,12,14A to connect STK500 to DUT)"		RELAY	@b006f	STEP								
14	Test 5.2	CONF RES Meas.		34410A	CONF:RES 100	TEST								
15		"ON 3,5 (Connect DMM+HI & DMM_COM to Meas Res. btw J3&TP4)"		RELAY	@b002t	TEST								
16		Meas RES at J3 & TP4	F2	34410A	READ?	TEST	10	16	RES	DPO1				
17		"OFF 3,5 (Connect DMM+HI & DMM_COM to Meas Res. btw J3&TP4)"		RELAY	@b002f	TEST								
14	Test 5.3	CONF RES Meas.		34410A	CONF:RES 100000	TEST								
15		"ON 28,30 (Connect DMM+HI & DMM_COM to Meas Res. btw TP14&TP4)"		RELAY	@b023t	TEST								
15		ON 12 (Connect DMM+HI & DMM_COM to Meas Res. btw TP14&TP4)		RELAY	@b009t	TEST								
16		Meas RES at TP14  & TP4	F2	34410A	READ?	TEST	12000	185000	RES	DPO1				
15		OFF 12 (Diconnect DMM+HI & DMM_COM to Meas Res. btw TP14&TP4)		RELAY	@b009f	TEST								
15	Test 5.4	ON 31 (Connect DMM+HI & DMM_COM to Meas Res. btw TP15&TP4)		RELAY	@b041t	TEST								
16		Meas RES at TP15  & TP4	F2	34410A	READ?	TEST	12000	185000	RES	DPO1				
15		OFF 31 (Disconnect DMM+HI & DMM_COM to Meas Res. btw TP15&TP4)		RELAY	@b041f	TEST								
