CUSTOMER P/N:	10DL501HP	TestSpecification Rev C												
SVI P/N:	LNK908-215429LF(10DL501HP)													
CREATED DATE:	3-Dec-15													
SW REV.:	1.000													
TEST SEQ REV.:	1.000													
Index	 Step#	Descriptions	FailedCode	Equipment	Command	Action 	Low Limit	High Limit	Unit	Type	Test Loop	Compensate	Remarks	RLY Status
1	0	Initial				STEP								
2		Enter to SINGLE SEQ mode		DSO1072B	:RUN	TEST								
3		Set time base of DSO1072B to 500uS		DSO1072B	:TIM:SCAL 0.0002	TEST								
4		SEL 35V RANGE on E3643A		E3643A	VOLT:RANG LOW	TEST								
5		SEL 14VDC 100mA		E3643A	"APPL 13.2,0.1"	TEST								
6		TURN ON E3643A		E3643A	OUTP ON	TEST								
7		"ON 1,2 to APPLY 14VDC to FIXTURE"		RELAY	@b001t	TEST								
8		"Test ID 01-DUT Erase, OSC cal & Test SW prog."				STEP								
9		"ON 9 (Ctrl. SRLY8,10,12,14A to connect STK500 to DUT)"		RELAY	@b006t	STEP								
10		Program test software	F1	STK500	TEST_FW	STEP	Programming complete!	Programming complete!	MESS	STR1				
11		"OFF 9 (Ctrl. SRLY8,10,12,14A to connect STK500 to DUT)"		RELAY	@b006f	STEP								
12		Test ID 02-RES. Btw J3 and TP4				STEP								
13		CONF RES Meas.		34410A	CONF:RES 100	TEST								
14		"ON 3,5 (Connect DMM+HI & DMM_COM to Meas Res. btw J3&TP4)"		RELAY	@b002t	TEST								
15		Wait 250mS		DELAY	900	TEST								
16		Meas RES at J3 & TP4	F2	34410A	READ?	TEST	10	16	RES	DPO1				
17		"OFF 3,5 (Connect DMM+HI & DMM_COM to Meas Res. btw J3&TP4)"		RELAY	@b002f	TEST								
18		Test ID 05-supply current consumption				STEP								
19		CONF 34410A to current meas. Mode		34410A	CONF:CURR:DC 0.1	TEST								
20		"ON 23,24 (Supply 12VDC to 5000 RPM MOTOR (CW)"		RELAY	@b042t	TEST								
21		"ON 8 (Ctrl. SRLY1,3A  for DUT input current measurement)"		RELAY	@b004t	TEST								
22		Wait 1000mS		DELAY	1000	TEST								
23		Meas supply current consumption	F3	E3643A	MEAS:CURR:DC?	TEST	0.006	0.021	CUR	DPO1				
24		ON 7 (Ctrl. SRLY2A for Supply 13.2VDC to DUT)		RELAY	@b004t	TEST								
25		"OFF 23,24 (Supply 12VDC to 5000 RPM MOTOR (CW)"		RELAY	@b042f	TEST								
26		"OFF 8 (Ctrl. SRLY1,3A  for DUT input current measurement)"		RELAY	@b005f	TEST								
27		Test ID 06-supply for ATTiny				STEP								
28		CONF 34410A to voltage meas. Mode		34410A	CONF:VOLT:DC 100	TEST								
29		"ON 4,6 (Meas ATTiny supply voltage)"		RELAY	@b003t	TEST								
30		Meas voltage at TP8 wrt TP4	F4	34410A	READ?	TEST	4.5	5	VOLT	DPO1				
31		"OFF 4,6 (Meas ATTiny supply voltage)"		RELAY	@b003f	TEST								
32		Test ID 07-output voltage from OPAMP				STEP								
33		"ON 27,29 (Meas O/P voltage from OPAMP TP2 wpt. TP4)"		RELAY	@b022t	TEST								
34		Meas voltage at TP2 wrt TP4 (OPAMP O/P volatge)	F5	34410A	READ?	TEST	2.15	2.45	VOLT	DPO1				
35		"OFF 27,29 (Meas O/P voltage from OPAMP TP2 wpt. TP4)"		RELAY	@b022f	TEST								
36		Test ID 08-output voltageat Hall A				STEP								
